"exchange","exchange_token","trading_symbol","groww_symbol","name","instrument_type","segment","series","isin","underlying_symbol","underlying_exchange_token","expiry_date","strike_price","lot_size","tick_size","freeze_quantity","is_reserved","buy_allowed","sell_allowed","internal_trading_symbol","is_intraday"
"NSE",27066,"SWIGGY","NSE-SWIGGY","Swiggy","EQ","CASH","EQ","INE00H001014",,,,,1,0.05,,,1,1,"SWIGGY-EQ",0
"NSE",2814,"ARVEE","NSE-ARVEE","Arvee Labs (India)","EQ","CASH","EQ","INE006Z01016",,,,,1,0.01,,,1,1,"ARVEE-EQ",0
"NSE",17534,"MGL","NSE-MGL","Mahanagar Gas","EQ","CASH","EQ","INE002S01010",,,,,1,0.1,,,1,1,"MGL-EQ",0
"NSE",5114,"SGIL","NSE-SGIL","Synergy Green Inds","EQ","CASH","EQ","INE00QT01015",,,,,1,0.05,,,1,1,"SGIL-EQ",0
"NSE",22,"ACC","NSE-ACC","ACC","EQ","CASH","EQ","INE012A01025",,,,,1,0.1,,,1,1,"ACC-EQ",0
"NSE",2998,"SUVIDHAA","NSE-SUVIDHAA","Suvidhaa Infoserve","EQ","CASH","EQ","INE018401013",,,,,1,0.01,,,1,1,"SUVIDHAA-EQ",0
"NSE",11483,"LT","NSE-LT","L&T","EQ","CASH","EQ","INE018A01030",,,,,1,0.1,,,1,1,"LT-EQ",0
"NSE",24610,"AVANTEL","NSE-AVANTEL","Avantel","EQ","CASH","EQ","INE005B01027",,,,,1,0.01,,,1,1,"AVANTEL-EQ",0
"NSE",11343,"AFFLE","NSE-AFFLE","Affle 3i","EQ","CASH","EQ","INE00WC01027",,,,,1,0.1,,,1,1,"AFFLE-EQ",0
"NSE",641,"DNAMEDIA","NSE-DNAMEDIA","Diligent Media Co","EQ","CASH","EQ","INE016M01021",,,,,1,0.01,,,1,1,"DNAMEDIA-EQ",0
"NSE",7929,"ZYDUSLIFE","NSE-ZYDUSLIFE","Zydus","EQ","CASH","EQ","INE010B01027",,,,,1,0.05,,,1,1,"ZYDUSLIFE-EQ",0
"NSE",1476,"IDBI","NSE-IDBI","IDBI Bank","EQ","CASH","EQ","INE008A01015",,,,,1,0.01,,,1,1,"IDBI-EQ",0
"NSE",29224,"ONESOURCE","NSE-ONESOURCE","Onesource Specialty","EQ","CASH","EQ","INE013P01021",,,,,1,0.1,,,1,1,"ONESOURCE-EQ",0
"NSE",2739,"PRSMJOHNSN","NSE-PRSMJOHNSN","Prism Johnson","EQ","CASH","EQ","INE010A01011",,,,,1,0.01,,,1,1,"PRSMJOHNSN-EQ",0
"NSE",21131,"TEJASNET","NSE-TEJASNET","Tejas Networks","EQ","CASH","EQ","INE010J01012",,,,,1,0.05,,,1,1,"TEJASNET-EQ",0
"NSE",2885,"RELIANCE","NSE-RELIANCE","Reliance Industries","EQ","CASH","EQ","INE002A01018",,,,,1,0.1,,,1,1,"RELIANCE-EQ",0
"NSE",9553,"PRUDENT","NSE-PRUDENT","Prudent","EQ","CASH","EQ","INE00F201020",,,,,1,0.1,,,1,1,"PRUDENT-EQ",0
"NSE",3150,"SIEMENS","NSE-SIEMENS","Siemens","EQ","CASH","EQ","INE003A01024",,,,,1,0.1,,,1,1,"SIEMENS-EQ",0
"NSE",2176,"AKG","NSE-AKG","AKG Exim","EQ","CASH","EQ","INE00Y801016",,,,,1,0.01,,,1,1,"AKG-EQ",0
"NSE",12489,"SWSOLAR","NSE-SWSOLAR","Sterling","EQ","CASH","EQ","INE00M201021",,,,,1,0.01,,,1,1,"SWSOLAR-EQ",0
"NSE",18564,"LTTS","NSE-LTTS","L&T Technology Serv.","EQ","CASH","EQ","INE010V01017",,,,,1,0.1,,,1,1,"LTTS-EQ",0
"NSE",759587,"STUDDS","NSE-STUDDS","Studds Accessories","EQ","CASH","EQ","INE00Q601028",,,,,1,0.05,,,1,1,"STUDDS-EQ",0
"NSE",23607,"BALUFORGE","NSE-BALUFORGE","Balu Forge Inds","EQ","CASH","EQ","INE011E01029",,,,,1,0.05,,,1,1,"BALUFORGE-EQ",0
"NSE",15199,"MANAKSIA","NSE-MANAKSIA","Manaksia","EQ","CASH","EQ","INE015D01022",,,,,1,0.01,,,1,1,"MANAKSIA-EQ",0
"NSE",24809,"UNIECOM","NSE-UNIECOM","Unicomm. eSolutions","EQ","CASH","EQ","INE00U401027",,,,,1,0.01,,,1,1,"UNIECOM-EQ",0
"NSE",20372,"FLAIR","NSE-FLAIR","Flair Writing Indu.","EQ","CASH","EQ","INE00Y201027",,,,,1,0.05,,,1,1,"FLAIR-EQ",0
"NSE",1594,"INFY","NSE-INFY","Infosys","EQ","CASH","EQ","INE009A01021",,,,,1,0.1,,,1,1,"INFY-EQ",0
"NSE",17971,"SBICARD","NSE-SBICARD","SBI Cards And Payment","EQ","CASH","EQ","INE018E01016",,,,,1,0.05,,,1,1,"SBICARD-EQ",0
"NSE",25114,"STYLEBAAZA","NSE-STYLEBAAZA","Baazar Style Retail","EQ","CASH","EQ","INE01FR01028",,,,,1,0.05,,,1,1,"STYLEBAAZA-EQ",0
"NSE",236,"ASIANPAINT","NSE-ASIANPAINT","Asian Paints","EQ","CASH","EQ","INE021A01026",,,,,1,0.1,,,1,1,"ASIANPAINT-EQ",0
"NSE",2866,"RCF","NSE-RCF","Rashtriya Chemical","EQ","CASH","EQ","INE027A01015",,,,,1,0.01,,,1,1,"RCF-EQ",0
"NSE",220,"IEX","NSE-IEX","IEX","EQ","CASH","EQ","INE022Q01020",,,,,1,0.01,,,1,1,"IEX-EQ",0
"NSE",11723,"JSWSTEEL","NSE-JSWSTEEL","JSW Steel","EQ","CASH","EQ","INE019A01038",,,,,1,0.1,,,1,1,"JSWSTEEL-EQ",0
"NSE",11927,"NECLIFE","NSE-NECLIFE","Nectar Life Sciences","EQ","CASH","EQ","INE023H01027",,,,,1,0.01,,,1,1,"NECLIFE-EQ",0
"NSE",20534,"GRAVITA","NSE-GRAVITA","Gravita India","EQ","CASH","EQ","INE024L01027",,,,,1,0.1,,,1,1,"GRAVITA-EQ",0
"NSE",9756,"EMUDHRA","NSE-EMUDHRA","eMudhra","EQ","CASH","EQ","INE01QM01018",,,,,1,0.05,,,1,1,"EMUDHRA-EQ",0
"NSE",17145,"AARTECH","NSE-AARTECH","Aartech Solonics","EQ","CASH","EQ","INE01C001026",,,,,1,0.01,,,1,1,"AARTECH-EQ",0
"NSE",11239,"NSIL","NSE-NSIL","Nalwa Sons Invst","EQ","CASH","EQ","INE023A01030",,,,,1,0.5,,,1,1,"NSIL-EQ",0
"NSE",758973,"VIKRAN","NSE-VIKRAN","Vikran Engineering","EQ","CASH","EQ","INE01R501028",,,,,1,0.01,,,1,1,"VIKRAN-EQ",0
"NSE",13631,"SKYGOLD","NSE-SKYGOLD","Sky Gold & Diamonds","EQ","CASH","EQ","INE01IU01018",,,,,1,0.05,,,1,1,"SKYGOLD-EQ",0
"NSE",20527,"PRUDMOULI","NSE-PRUDMOULI","Prudential Sugar","EQ","CASH","EQ","INE024D01016",,,,,1,0.01,,,1,1,"PRUDMOULI-EQ",0
"NSE",759477,"CANHLIFE","NSE-CANHLIFE","Canara HSBC Life Ins","EQ","CASH","EQ","INE01TY01017",,,,,1,0.01,,,1,1,"CANHLIFE-EQ",0
"NSE",1797,"AWHCL","NSE-AWHCL","Antony Waste","EQ","CASH","EQ","INE01BK01022",,,,,1,0.05,,,1,1,"AWHCL-EQ",0
"NSE",20063,"SASTASUNDR","NSE-SASTASUNDR","Sastasundar Ventures","EQ","CASH","EQ","INE019J01013",,,,,1,0.05,,,1,1,"SASTASUNDR-EQ",0
"NSE",16913,"ARTEMISMED","NSE-ARTEMISMED","Artemis Medicare","EQ","CASH","EQ","INE025R01021",,,,,1,0.01,,,1,1,"ARTEMISMED-EQ",0
"NSE",14334,"HSCL","NSE-HSCL","Himadri Speciality","EQ","CASH","EQ","INE019C01026",,,,,1,0.05,,,1,1,"HSCL-EQ",0
"NSE",24226,"STANLEY","NSE-STANLEY","Stanley Lifestyles","EQ","CASH","EQ","INE01A001028",,,,,1,0.05,,,1,1,"STANLEY-EQ",0
"NSE",8944,"RITCO","NSE-RITCO","Ritco","EQ","CASH","EQ","INE01EG01016",,,,,1,0.05,,,1,1,"RITCO-EQ",0
"NSE",27969,"VMM","NSE-VMM","Vishal Mega Mart","EQ","CASH","EQ","INE01EA01019",,,,,1,0.01,,,1,1,"VMM-EQ",0
"NSE",12490,"VINNY","NSE-VINNY","Vinny Overseas","EQ","CASH","EQ","INE01KI01027",,,,,1,0.01,,,1,1,"VINNY-EQ",0
"NSE",14889,"ASIANTILES","NSE-ASIANTILES","Asian Granito India","EQ","CASH","EQ","INE022I01019",,,,,1,0.01,,,1,1,"ASIANTILES-EQ",0
"NSE",18268,"AEROFLEX","NSE-AEROFLEX","Aeroflex Industries","EQ","CASH","EQ","INE024001021",,,,,1,0.01,,,1,1,"AEROFLEX-EQ",0
"NSE",1328,"MARINE","NSE-MARINE","Marine Electrials","EQ","CASH","EQ","INE01JE01028",,,,,1,0.05,,,1,1,"MARINE-EQ",0
"NSE",15355,"RECLTD","NSE-RECLTD","RECL","EQ","CASH","EQ","INE020B01018",,,,,1,0.05,,,1,1,"RECLTD-EQ",0
"NSE",2275,"IRISDOREME","NSE-IRISDOREME","Iris Clothings","EQ","CASH","EQ","INE01GN01025",,,,,1,0.01,,,1,1,"IRISDOREME-EQ",0
"NSE",8163,"SPENCERS","NSE-SPENCERS","Spencer's Retail","EQ","CASH","EQ","INE020801028",,,,,1,0.01,,,1,1,"SPENCERS-EQ",0
"NSE",11971,"GOLDIAM","NSE-GOLDIAM","Goldiam Intl","EQ","CASH","EQ","INE025B01025",,,,,1,0.05,,,1,1,"GOLDIAM-EQ",0
